product_name,product_category,product_type,weight,fragility,fragility_score,current_material,cost_per_unit,co2_emission_kg,recyclability,biodegradability,durability,recommended_material,rec_co2,rec_cost,rec_recyclability,rec_biodegradability
serum bottle,Cosmetics,serum bottle,435.4,medium,2.0,Plastic (PET),0.3388,,0.7341,0.0463,0.8073,Recycled Plastic,0.7837,0.4354,0.9,0.1
mushroom tray,Fresh Produce,mushroom tray,553.6,high,3.0,Cardboard,0.2565,0.5178,0.8244,0.7209,0.5522,Seaweed Film,0.0277,2.436,0.45,0.98
body lotion bottle,Cosmetics,body lotion bottle,280.9,high,3.0,Plastic (PET),0.2351,1.0623,0.7096,0.0507,0.8129,Bamboo,0.0843,0.899,0.6,0.95
nasal spray,Pharmaceuticals,nasal spray,248.0,medium,2.0,Cardboard,0.1243,0.2251,0.8876,0.7591,0.5439,Glass,0.2976,0.4465,0.95,0.1
berry punnet,Fresh Produce,berry punnet,1783.9,high,3.0,Plastic (PET),1.4873,6.9265,0.7341,0.0511,0.7367,Kraft Paper,1.2487,0.7136,0.85,0.88
jewelry box,Fashion & Apparel,jewelry box,412.6,medium,2.0,Cardboard,0.2197,0.3769,0.9487,0.7512,0.5293,Bamboo,0.1238,1.3204,0.6,0.95
soil bag,Agriculture,soil bag,16411.8,low,1.0,hdpe plastic,,55.6846,0.7505,0.0496,0.8453,Bioplastic (PLA),13.1294,45.953,0.3,0.85
moisturizer jar,Cosmetics,moisturizer jar,251.7,high,3.0,Glass,0.4762,0.3307,1.0,0.102,0.9525,Recycled Plastic,0.453,0.2517,0.9,0.1
light bulb box,Household,light bulb box,1.752 kg,low,1.0,Glass,3.0997,2.0477,0.9703,0.1004,0.8733,Bioplastic (PLA),1.4015,4.9054,0.3,0.85
building blocks box,Toys & Games,building blocks box,182.8,medium,2.0,Styrofoam (EPS),0.0769,0.6419,0.1029,0.0099,0.6174,Bamboo,0.0548,0.585,0.6,0.95
board game box,Toys & Games,board game box,1894.3,medium,2.0,Styrofoam (EPS),0.7769,6.8163,0.0947,0.0099,0.6092,Recycled Plastic,3.4098,1.8943,0.9,0.1
thermometer case,Pharmaceuticals,thermometer case,124.6,high,3.0,Cardboard,0.0675,0.1214,0.8556,0.7713,0.5948,Bioplastic (PLA),0.0997,0.3489,0.3,0.85
Premium tie box,Fashion & Apparel,tie box,1227.2,medium,,Plastic (PET),0.9362,4.8218,0.6792,0.0491,0.7766,Recycled Cardboard,0.6136,0.7363,0.92,0.82
Detergent Bottle,Household,detergent bottle,2027.0,high,3.0,Cardboard,1.0505,1.7095,0.906,0.7447,0.5593,Bioplastic (PLA),1.6216,5.6755,0.3,0.85
lubricant container,Industrial,lubricant container,8288.4,low,1.0,Steel (Tinplate),11.8117,24.1995,0.8478,0.0208,1.0,Recycled Aluminum,6.6307,19.8921,0.95,0.02
educational toy box,Toys & Games,educational toy box,498.9,low,1.0,Styrofoam (EPS),0.2073,1.6826,0.1023,0.0108,0.5998,Bamboo,0.1497,1.5966,0.6,0.95
vase packaging,Household,vase packaging,729.7,high,3.0,Glass,1.2934,0.9179,0.8679,0.1098,0.8973,Glass,0.8757,1.3135,0.95,0.1
trash bag roll,Household,trash bag roll,302.3,low,,Glass,0.4763,,,,0.8738,Glass,0.3628,0.5442,0.95,0.1
plate packaging,Household,plate packaging,920.8,medium,2.0,Cardboard,0.4487,0.815,0.8866,0.7789,0.6155,Recycled Cardboard,0.4604,0.5525,0.92,0.82
building blocks box,Toys & Games,building blocks box,1868.2,medium,2.0,Styrofoam (EPS),0.7433,6.159,0.1061,0.0095,0.5771,Recycled Cardboard,0.9341,1.1209,0.92,0.82
wire coil packaging,Industrial,wire coil packaging,634.4,medium,,Cardboard,0.3373,0.5571,0.8489,0.7666,0.5713,Steel (Tinplate),1.9032,0.8882,0.88,0.02
nail_polish_bottle,Cosmetics,nail polish bottle,403.1,medium,2.0,Plastic (HDPE),0.2688,1.4689,0.7761,0.0487,0.8065,Recycled Aluminum,0.3225,0.9675,0.95,0.02
mushroom tray,Fresh Produce,mushroom tray,464.9,medium,2.0,Cardboard,0.2403,0.4174,,0.7643,0.5546,Seaweed Film,0.0232,2.0456,0.45,0.98
earbuds case,Electronics,earbuds case,5842.1,high,3.0,PET,4.7629,23.8823,0.7066,0.0487,0.7932,Mycelium,0.5842,23.3685,0.4,0.99
jeans packaging,Fashion & Apparel,jeans packaging,,low,1.0,Wood,3.0388,0.5734,0.7242,,0.8076,Kraft Paper,0.7759,0.4434,0.85,0.88
power bank box,Electronics,power bank box,4.328 kg,high,3.0,Plastic (PET),3.259,17.411,0.7376,0.053,0.8192,Recycled Cardboard,2.1641,2.597,0.92,0.82
doll packaging,Toys & Games,doll packaging,962.5,low,1.0,Cardboard,0.4295,0.8277,0.8484,0.7421,0.5229,Recycled Cardboard,0.4813,0.5775,0.92,0.82
baby toy packaging,Toys & Games,baby toy packaging,209.4,low,1.0,Cardboard,0.1049,0.18,0.8796,0.7907,0.5631,Recycled Cardboard,0.1047,0.1257,0.92,0.82
body lotion bottle,Cosmetics,body lotion bottle,489.6,medium,2.0,Plastic (HDPE),0.3418,1.6116,0.7108,0.0512,0.8624,Glass,0.5875,0.8812,0.95,0.1
hard drive box,Electronics,hard drive box,1507.1,high,3.0,Plastic (PET),1.2619,6.2274,0.7115,0.0528,0.7557,Hemp Fiber,0.3014,5.1242,0.65,0.96
apple tray (imported),Fresh Produce,apple tray,2981.5,,,Cardboard,1.4745,2.9261,0.8427,0.7255,0.52,Mycelium,0.2982,11.9261,0.4,0.99
apple tray,Fresh Produce,apple tray,2182.8,high,,Plastic (PET),1.9078,8.7878,0.7504,0.0529,0.7768,Bioplastic (PLA),1.7463,6.112,0.3,0.85
ketchup bottle,Food & Beverage,ketchup bottle,489.7,medium,2.0,Al can,0.9911,4.3147,0.8819,0.0199,0.8719,Bioplastic (PLA),0.3918,1.3712,0.3,0.85
HAIR SPRAY CAN,Cosmetics,hair spray can,458.9,medium,2.0,Glass,0.7848,0.5636,0.9643,0.1038,0.9552,Glass,0.5507,0.8261,0.95,0.1
melon wrap,Fresh Produce,melon wrap,,high,3.0,Plastic (PET),2.2332,10.618,0.7461,0.0512,0.809,Kraft Paper,1.9434,1.1105,0.85,0.88
cookie tin,food_&_beverage,cookie tin,164.6,medium,2.0,Steel (Tinplate),0.2284,0.49,0.8428,0.02,0.967,Seaweed Film,0.0082,0.7244,0.45,0.98
handbag packaging,Fashion & Apparel,handbag packaging,0.707 kg,low,1.0,Plastic (PET),0.5336,2.7877,0.7231,0.0506,0.7713,Bamboo,0.2122,2.264,0.6,0.95
Trash Bag Roll,Household,trash bag roll,2.113 kg,medium,2.0,Styrofoam (EPS),0.8404,7.269,0.0981,0.0103,0.6263,Glass,2.5359,3.8038,0.95,0.1
paper towel wrap,Household,paper towel wrap,2526.7,low,1.0,Cardboard,1.2222,2.2966,0.8587,0.738,0.5617,Recycled Plastic,4.5481,2.5267,0.9,0.1
perfume bottle (imported),Cosmetics,perfume bottle,145.0,medium,2.0,Plastic (HDPE),0.1064,0.5224,0.7855,0.0527,0.8232,Bamboo,0.0435,0.464,0.6,0.95
action figure box (imported),Premium toys & games,action figure box,730.2,,2.0,Cardboard,0.3695,0.6475,0.8294,0.7645,0.5444,Recycled Cardboard,0.3651,0.4381,0.92,0.82
eyeshadow palette,Cosmetics,eyeshadow palette,444.6,medium,2.0,Glass,0.9243,0.5307,0.9377,0.1026,0.8708,Recycled Aluminum,0.3557,1.0671,0.95,0.02
jeans packaging,Fashion & Apparel,jeans packaging,1180.0,low,1.0,Plastic (PET),0.9446,4.1161,0.6769,0.0493,,Recycled Cardboard,0.59,0.708,0.92,0.82
makeup remover bottle,Cosmetics,makeup remover bottle,0.216 kg,medium,2.0,Plastic (HDPE),0.1348,0.7773,0.7439,0.0504,0.8861,Recycled Aluminum,0.173,0.5191,0.95,0.02
conditioner bottle,Cosmetics,conditioner bottle,397.6,medium,2.0,Plastic (PET),0.3101,1.5844,0.7146,0.0481,0.7549,Bamboo,0.1193,1.2723,0.6,0.95
trash bag roll,Household,trash bag roll,3678.5,medium,2.0,Glass,6.4669,4.6342,0.9804,0.099,0.9146,Recycled Cardboard,1.8393,2.2071,0.92,0.82
trash bag roll,Household,trash bag roll,1675.4,medium,2.0,Glass,3.2726,2.1106,0.8722,0.0911,0.872,Recycled Plastic,3.0158,1.6754,0.9,0.1
handbag packaging,Fashion & Apparel,handbag packaging,0.068 kg,low,1.0,Cardboard,0.0365,0.0636,0.8886,0.7766,0.5475,Recycled Cardboard,0.0342,0.0411,0.92,0.82
deodorant stick (imported),Cosmetics,deodorant stick,158.2,medium,2.0,soda-lime glass,0.2704,0.2082,0.9178,0.1026,0.9081,Bamboo,0.0474,0.5061,0.6,0.95
olive oil bottle,Food & Beverage,olive oil bottle,1970.8,low,1.0,Glass,3.7402,2.4322,0.9658,,0.8775,Bioplastic (PLA),1.5767,5.5183,0.3,0.85
action figure box,Toys & Games,action figure box,2687.2,medium,2.0,Styrofoam (EPS),1.0465,8.5789,0.1029,0.0106,0.6006,Recycled Cardboard,1.3436,1.6123,0.92,0.82
syrup bottle,Pharmaceuticals,syrup bottle,281.5,medium,2.0,borosilicate glass,0.5181,0.3709,0.9539,0.1002,0.7927,Bioplastic (PLA),0.2252,0.7881,0.3,0.85
shirt packaging,Fashion & Apparel,shirt packaging,617.0,medium,,Plastic (PET),0.5151,2.4409,0.7317,0.0521,0.7934,Bamboo,0.1851,1.9744,0.6,0.95
BOARD GAME BOX,Toys & Games,board game box,2.272 kg,medium,2.0,corrugated cardboard,1.0658,2.1249,0.8219,0.7696,0.5582,Bamboo,0.6817,7.2709,0.6,0.95
vitamin bottle,Pharmaceuticals,vitamin bottle,0.031 kg,high,3.0,Glass,0.0537,0.0388,0.9489,0.0991,0.9101,Bioplastic (PLA),0.0252,0.0881,0.3,0.85
jewelry box,Fashion & Apparel,jewelry box,1450.1,low,1.0,Plastic (PET),1.1253,5.2791,0.6435,0.0487,0.7696,Recycled Cardboard,0.7251,0.8701,0.92,0.82
plant pot,Agriculture,plant pot,8.896 kg,,1.0,Kraft Paper,3.4839,5.9427,0.8646,0.8953,0.4298,Hemp Fiber,1.7791,30.2448,0.65,0.96
deodorant stick,Cosmetics,deodorant stick,395.1,,3.0,Plastic (HDPE),0.2926,1.2989,0.7797,0.0516,0.8767,Glass,0.4741,0.7112,0.95,0.1
Smartwatch Box,Electronics,smartwatch box,3463.2,high,3.0,pet bottle,2.7765,,0.7568,0.0495,0.777,Mycelium,0.3463,13.8529,0.4,0.99
lipstick case,Cosmetics,lipstick case,354.3,high,3.0,Glass,0.6322,0.4645,0.9818,0.1005,0.9583,Recycled Aluminum,0.2835,0.8504,0.95,0.02
bolt set packaging,Industrial,bolt set packaging,10316.4,high,3.0,Steel (Tinplate),14.3988,29.9149,0.8334,0.0175,0.9797,Recycled Cardboard,5.1582,6.1898,0.92,0.82
Premium shoe box,Fashion & Apparel,shoe box,1110.5,medium,,Wood,2.959,,0.7001,0.8166,0.9182,Recycled Cardboard,0.5553,0.6663,0.92,0.82
pesticide container,Agriculture,pesticide container,5989.0,low,1.0,Kraft Paper,2.3441,4.2989,0.7869,0.8708,0.4771,Bamboo,1.7967,19.1649,0.6,0.95
soil_bag,Agriculture,soil bag,3565.5,low,1.0,Cardboard,1.8001,3.1365,0.8466,0.7076,0.5671,Bamboo,1.0696,11.4096,0.6,0.95
remote control toy box,Toys & Games,remote control toy box,593.3,medium,2.0,Cardboard,0.3065,0.5449,0.8206,0.7329,0.513,Bamboo,0.178,1.8985,0.6,0.95
moisturizer jar,Cosmetics,moisturizer jar,65.3,medium,2.0,Plastic (PET),0.0498,0.2253,0.6661,0.0484,0.7967,Recycled Plastic,0.1176,0.0653,0.9,0.1
router box,Electronics,router box,7807.2,high,3.0,Plastic (PET),6.0867,30.0801,0.6895,0.0485,0.7808,Recycled Cardboard,3.9036,4.6843,0.92,0.82
picture frame box,Household,picture frame box,1671.8,medium,2.0,Plastic (HDPE),,5.8825,0.7434,0.051,0.8653,Glass,2.0061,3.0092,0.95,0.1
remote control toy box,Toys & Games,remote control toy box,1390.0,low,1.0,Styrofoam (EPS),0.6011,4.3579,0.11,0.0102,0.6477,Recycled Cardboard,0.695,0.834,0.92,0.82
puzzle box - eco,Toys & Games,puzzle box,1658.4,medium,2.0,Cardboard,0.7976,1.5588,0.8817,0.7756,0.5442,Recycled Plastic,2.9852,1.6584,0.9,0.1
watch box,Fashion & Apparel,watch box,1308.5,low,1.0,Cardboard,0.653,1.1724,0.8038,,0.5511,Recycled Cardboard,0.6542,0.7851,0.92,0.82
TV box,Electronics,TV box,6673.9,high,3.0,Plastic (PET),4.8407,28.296,0.7447,0.046,0.7811,Hemp Fiber,1.3348,22.6914,0.65,0.96
mascara tube,Cosmetics,mascara tube,378.6,medium,2.0,Plastic (PET),,1.3889,0.7311,0.052,0.8252,Glass,0.4543,0.6815,0.95,0.1
salad bag,Fresh Produce,salad bag,2034.7,medium,2.0,Plastic (PET),1.625,7.8486,0.6779,0.0529,0.8301,Seaweed Film,0.1017,8.9529,0.45,0.98
berry punnet,Fresh Produce,berry punnet,1.28 kg,medium,2.0,Cardboard,170.17,139.04,0.7976,0.7742,0.5198,Bioplastic (PLA),1.024,3.584,0.3,0.85
building blocks box,Toys & Games,building blocks box,2054.0,medium,2.0,Styrofoam (EPS),0.7571,,0.0944,0.0094,0.6043,Bamboo,0.6162,6.5729,0.6,0.95
trash bag roll,Household,trash bag roll,1079.6,medium,2.0,Cardboard,0.5462,0.8642,0.9139,0.6946,0.5815,Recycled Cardboard,0.5398,0.6477,0.92,0.82
frozen food box,Food & Beverage,frozen food box,301.0,low,1.0,clear glass,0.5385,,0.8468,0.1042,0.8759,Recycled Cardboard,0.1505,0.1806,0.92,0.82
camera box,Electronics,camera box,6.528 kg,high,3.0,Cardboard,3.0174,5.7985,0.8703,0.7427,0.5649,Hemp Fiber,1.3055,22.1942,0.65,0.96
Premium tea box,Food & Beverage,tea box,,medium,2.0,Glass,0.7602,0.5079,1.0,0.1035,0.9158,Recycled Plastic,0.7326,0.407,0.9,0.1
LEGO box,Toys & Games,LEGO box,2305.6,medium,,Plastic (PET),1.7972,8.5431,0.6911,0.0491,0.8308,Bamboo,0.6917,7.3779,0.6,0.95
tie box,Fashion & Apparel,tie box,0.107 kg,medium,2.0,Wood,0.2661,0.0506,0.656,0.7906,0.8698,Bamboo,0.032,0.3414,0.6,0.95
light bulb box - eco,Household,light bulb box,1419.8,low,1.0,Cardboard,0.6459,1.2031,0.9038,0.7785,0.5341,Bioplastic (PLA),1.1358,3.9754,0.3,0.85
first aid kit,Pharmaceuticals,first aid kit,,high,3.0,Cardboard,0.0208,0.0354,1.0,0.7461,0.5608,Glass,0.0483,0.0724,0.95,0.1
charger box,Electronics,charger box,6214.0,medium,2.0,Styrofoam (EPS),2.443,20.9643,0.1009,0.0095,0.5938,Hemp Fiber,1.2428,21.1275,0.65,0.96
berry punnet,Fresh Produce,berry punnet,2725.4,medium,2.0,Cardboard,1.5364,2.1309,0.9034,0.7556,0.5825,Mycelium,0.2725,10.9015,0.4,0.99
battery packaging,Industrial,battery packaging,4413.0,low,1.0,Wood,11.2481,2.083,0.7063,0.8492,0.8756,Recycled Cardboard,2.2065,2.6478,0.92,0.82
paper towel wrap,Household,paper towel wrap,2751.1,medium,2.0,Plastic (HDPE),1.9756,10.0896,0.7417,0.0499,0.8207,Bioplastic (PLA),2.2009,7.7032,0.3,0.85
bandage box,Pharmaceuticals,bandage box,0.181 kg,medium,2.0,Plastic (HDPE),0.1199,0.6483,0.8029,0.0498,0.8508,Glass,0.2175,0.3262,0.95,0.1
nail polish bottle,Cosmetics,nail polish bottle,333.2,,2.0,Aluminum,0.7146,2.9137,0.892,0.0182,1.0,Glass,0.3998,0.5998,0.95,0.1
COOKIE TIN,Food & Beverage,cookie tin,0.803 kg,medium,2.0,Glass,1.481,0.9203,0.8873,0.1092,0.9531,Recycled Cardboard,0.4015,0.4818,0.92,0.82
garden tool box,Agriculture,garden tool box,6635.1,low,1.0,Kraft Paper,,4.3688,0.8769,0.8982,0.4458,Bioplastic (PLA),5.308,18.5782,0.3,0.85
cookie tin,Food & Beverage,cookie tin,1166.7,medium,2.0,Glass,1.9,1.3706,1.0,0.0939,,Recycled Cardboard,0.5833,0.7,0.92,0.82
energy drink,Food & Beverage,energy drink,1033.4,medium,2.0,Steel (Tinplate),1.3718,3.1136,0.9177,0.0204,,Glass,1.24,1.8601,0.95,0.1
belt packaging,Fashion & Apparel,belt packaging,,low,1.0,Plastic (PET),1.0081,4.3469,0.7736,0.0557,0.7838,Kraft Paper,0.8604,0.4916,0.85,0.88
headphone case,Electronics,headphone case,4972.7,medium,2.0,Styrofoam (EPS),2.0108,15.2487,0.105,0.0096,0.555,Bamboo,1.4918,15.9127,0.6,0.95
vegetable clamshell,Fresh Produce,vegetable clamshell,421.6,medium,2.0,Kraft Paper,0.1737,0.2952,0.7886,0.779,0.4376,Kraft Paper,0.2952,0.1687,0.85,0.88
doll packaging - eco,Toys & Games,doll packaging,2957.9,medium,2.0,Styrofoam (EPS),1.1074,10.0569,0.1088,0.009,0.6509,Recycled Cardboard,1.479,1.7747,0.92,0.82
salad bag,Fresh Produce,salad bag,1347.3,high,3.0,Plastic (PET),1.1574,5.1993,0.7509,0.0496,0.7992,Kraft Paper,0.9431,0.5389,0.85,0.88
remote control toy box,Toys & Games,remote control toy box,867.0,low,1.0,Cardboard,0.4354,0.8123,0.8668,0.7534,0.4953,Recycled Plastic,1.5605,0.867,0.9,0.1
canned beans,Food & Beverage,canned beans,1850.1,low,1.0,Steel (Tinplate),2.8042,5.373,0.9074,0.0202,0.9936,Recycled Cardboard,0.925,1.11,0.92,0.82
tie box,Fashion & Apparel,tie box,483.9,low,1.0,Cardboard,0.2389,0.4238,0.8913,0.7947,0.5288,Bamboo,0.1452,1.5485,0.6,0.95
berry punnet,Fresh Produce,berry punnet,1189.6,high,3.0,Plastic (PET),1.0313,,0.6988,0.046,0.8327,Seaweed Film,0.0595,5.2344,0.45,0.98
pasta box,Food & Beverage,pasta box,0.244 kg,low,1.0,Glass,0.4313,0.2895,0.9446,0.1013,0.8932,Recycled Plastic,0.4401,0.2445,0.9,0.1
toy car box,Toys & Games,toy car box,191.2,medium,2.0,Cardboard,0.0986,0.1699,0.882,0.7734,0.5693,Bamboo,0.0573,0.6117,0.6,0.95
bolt set packaging,Industrial,bolt set packaging,,low,1.0,Cardboard,1.9271,3.3271,0.8737,0.7438,0.5509,Steel (Tinplate),11.6288,5.4268,0.88,0.02
salad bag,Fresh Produce,salad bag,,high,3.0,Cardboard,1.205,2.4447,0.9138,0.7581,0.564,Kraft Paper,1.8881,1.0789,0.85,0.88
soil bag,Agriculture,soil bag,15028.8,low,1.0,high density PE,10.4345,51.1697,0.7515,0.0475,0.8815,Hemp Fiber,3.0058,51.0978,0.65,0.96
seed packet - eco,Agriculture,seed packet,16150.7,low,1.0,Cardboard,8.2168,13.7123,0.8428,0.7538,0.5367,Bioplastic (PLA),12.9206,45.222,0.3,0.85
shampoo bottle,Cosmetics,shampoo bottle,275.4,high,,Plastic (HDPE),0.1946,0.9332,0.7611,0.047,0.8948,Bamboo,0.0826,0.8811,0.6,0.95
compost bag,Agriculture,compost bag,1.389 kg,low,1.0,Cardboard,0.7104,1.2682,0.8887,0.7617,0.5967,Hemp Fiber,0.2777,4.7211,0.65,0.96
mascara tube,Cosmetics,mascara tube,115.0,medium,2.0,Aluminum,0.2721,0.9371,0.949,0.019,1.0,Glass,0.138,0.207,0.95,0.1
tea box,Food & Beverage,tea box,1459.9,medium,2.0,Cardboard,0.687,1.2998,0.9447,0.7267,0.4994,Recycled Cardboard,0.73,0.876,0.92,0.82
candle box,Household,candle box,3.654 kg,,2.0,Cardboard,1.8169,3.0575,0.9289,0.7757,0.5886,Recycled Plastic,6.5764,3.6535,0.9,0.1
light bulb box,Household,light bulb box,1184.8,,1.0,Glass,2.1436,1.381,1.0,0.0938,0.834,Glass,1.4218,2.1327,0.95,0.1
bolt set packaging,Industrial,bolt set packaging,4952.5,low,1.0,Plastic (HDPE),3.7944,16.6995,,0.0519,0.8242,Steel (Tinplate),14.8574,6.9334,0.88,0.02
trash bag roll,Household,trash bag roll,1982.7,medium,2.0,Plastic (HDPE),1.5167,,0.7319,0.0508,,Glass,2.3793,3.5689,0.95,0.1
doll packaging,Toys & Games,doll packaging,204.9,medium,2.0,Styrofoam (EPS),,0.6759,0.0944,0.0103,0.6181,Bamboo,0.0615,0.6557,0.6,0.95
earbuds case,Electronics,earbuds case,3970.5,medium,2.0,Plastic (PET),3.4483,14.9576,0.6706,0.046,0.8588,Bamboo,1.1912,12.7058,0.6,0.95
face cream jar,Cosmetics,face cream jar,270.9,medium,2.0,Al can,0.6086,,0.9209,,0.9732,Bamboo,0.0813,0.8668,0.6,0.95
cutlery set box,Household,cutlery set box,3963.6,low,,Plastic (HDPE),2.8686,11.9975,0.7255,0.0454,0.8717,Recycled Cardboard,1.9818,2.3782,0.92,0.82
herb packaging,Fresh Produce,herb packaging,1939.8,high,3.0,Kraft Paper,0.7456,,,0.8206,0.4407,Kraft Paper,1.3578,0.7759,0.85,0.88
Gaming Console Box,Electronics,gaming console box,2163.6,,2.0,Plastic (PET),1.701,8.1175,0.7376,0.0517,0.7664,Recycled Cardboard,1.0818,1.2982,0.92,0.82
mascara tube,COSMETICS,mascara tube,0.359 kg,medium,2.0,Aluminum,0.8238,2.9934,0.9006,0.0174,0.9595,Recycled Aluminum,0.2868,0.8605,0.95,0.02
belt packaging,Fashion & Apparel,belt packaging,0.899 kg,medium,2.0,Plastic (PET),0.7158,3.5014,0.7653,0.051,0.7906,Bamboo,0.2696,2.8758,0.6,0.95
wire coil packaging (imported),Industrial,wire coil packaging,15247.8,medium,2.0,Wood,38.1124,7.9132,0.6917,0.7806,0.8535,Recycled Cardboard,7.6239,9.1487,0.92,0.82
energy drink,Food & Beverage,energy drink,1688.8,medium,2.0,Aluminum,3.6826,13.5794,0.7866,0.0217,0.9072,Recycled Cardboard,0.8444,1.0133,0.92,0.82
baby toy packaging,Toys & Games,baby toy packaging,508.0,medium,,Plastic (PET),0.3771,1.9089,0.7545,0.0528,0.7221,Recycled Plastic,0.9144,0.508,0.9,0.1
Premium cookie tin,Food & Beverage,cookie tin,1898.2,medium,2.0,Glass,3.3966,2.4278,0.8492,0.097,0.9584,Recycled Cardboard,0.9491,1.1389,0.92,0.82
milk jug,Food & Beverage,milk jug,802.6,medium,2.0,Plastic (PET),0.6043,3.016,0.7855,0.0486,0.8333,Glass,0.9631,1.4446,0.95,0.1
compost bag,Agriculture,compost bag,7332.3,low,1.0,Kraft Paper,2.846,5.0076,0.8133,0.8821,0.4313,Kraft Paper,5.1326,2.9329,0.85,0.88
Premium camera box,Electronics,camera box,1844.7,medium,2.0,Plastic (PET),1.4123,7.0265,0.7062,0.0525,0.7769,Bamboo,0.5534,5.9031,0.6,0.95
first aid kit,pharmaceuticals,first aid kit,114.5,,3.0,Cardboard,0.0522,0.1038,0.8942,,0.5372,Glass,0.1374,0.2061,0.95,0.1
fertilizer_bag,Agriculture,fertilizer bag,14826.2,low,1.0,Kraft Paper,5.9712,10.3727,0.974,,0.4246,Bioplastic (PLA),11.8609,41.5133,0.3,0.85
Face Cream Jar,Cosmetics,face cream jar,89.3,medium,2.0,Plastic (PET),0.0696,0.3698,0.7281,0.05,0.8475,Bioplastic (PLA),0.0714,0.2501,0.3,0.85
mushroom tray,Fresh Produce,mushroom tray,846.3,medium,2.0,Kraft Paper,0.3382,0.6055,0.8735,0.8899,0.4807,Bioplastic (PLA),0.6771,2.3698,0.3,0.85
pesticide container,Agriculture,pesticide container,2909.8,low,1.0,Kraft Paper,1.0364,2.1485,0.9152,0.9294,0.4397,Kraft Paper,2.0368,1.1639,0.85,0.88
herb packaging,Fresh Produce,herb packaging,227.5,medium,2.0,Plastic (PET),0.1984,,0.7646,0.0505,0.7803,Kraft Paper,0.1593,0.091,0.85,0.88
garden tool box,Agriculture,garden tool box,8175.1,low,1.0,Kraft Paper,3.1668,5.9999,0.8522,0.8467,0.4581,Kraft Paper,5.7225,3.27,0.85,0.88
